name,url,source
jhelvy.github.io,https://jhelvy.github.io/,https://github.com/jhelvy/jhelvy.github.io/
The Mockup Blog,https://themockup.netlify.app/,https://github.com/jthomasmock/radix_themockup
Lisa Lendway,https://lisalendway.netlify.app/,https://github.com/llendway/lisalendway_distill
Emi Tanaka,https://emitanaka.org/,https://github.com/emitanaka/emitanaka.github.io
Ijeamaka Anyene,https://ijeamaka-anyene.netlify.app/,https://github.com/Ijeamakaanyene/ijeamaka-anyene
Before I Sleep,https://milesmcbain.xyz/,https://github.com/MilesMcBain/milesmcbain.com/
Piping Hot Data,https://www.pipinghotdata.com/,https://github.com/shannonpileggi/pipinghotdata_distill
